"No","テーマ","質問（要約）","質問の原文（抜粋）","質問者","質問日時","ch・スレ","質問リンク","回答状況","回答要旨","回答者","回答種別","回答日時","回答リンク","未回答の論点メモ・備考"
"11","席（カンファレンス招待）","書籍クラファンの Contributor 以上に付いていた「イベント関係者席」は、今回の祭りでも有効か（除外されないか）","この関係者席は今回の祭りは除外されるのか知りたい
クラファン開始前に書いたけど現時点回答無し","肉巻きチャイ🌱🚿 さん
かおる🌱🚿 さん","2026-08-15 01:23
2026-08-15 01:26","先行情報
先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537859192180838400
https://discord.com/channels/1497518632761163797/1499610863244673134/1537859874501693522","運営回答あり","中央公会堂に席を用意します。S席・SS席とは別に、独自の枠を用意する予定とのこと。「何も決まっていない時から信じて支援してくださった方たちなので」と語られました","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","スペース中、実況でも「VIP・関係者席公会堂イン！」（かおる さん 8/15 20:40）と共有されました。ただし「その席で3部すべて聞けるか」は別途保留（下記）。"
"12","席（カンファレンス招待）","書籍クラファン組の席は、3部すべてを聴けるのか。ロール（Partner／Contributor／Observer）で扱いが変わるのか。割り振りは抽選か事務局判断か","書籍関係者席は全部のカンファレンス観れるんかなぁ？
書籍組は、1-3部全カンファレンス観れるのか、それとも1つだけのカンファレンスなのか。 また、ロール（パートナー、コントリビューター、オブザーバーなど）でそれが変わるのか？
1つだけだとしてそれは希望申し込みの上の抽選なのか、事務局の割り振りなのか？","dk さん
dk さん
dk さん","2026-08-15 20:43
2026-08-16 10:32
2026-08-16 10:33","雑談
雑談
雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538151148190695504
https://discord.com/channels/1497518632761163797/1499907191623123096/1538359772305297418
https://discord.com/channels/1497518632761163797/1499907191623123096/1538359959417520178","未回答","その席で3部すべてを聞けるのか？ → こちらもチームと相談のうえ、改めて案内","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","「席はある」までは回答済み、「何部聴けるか」は保留。8/16 になっても雑談で繰り返し話題になっています。"
"13","席（カンファレンス招待）","複数のコースを申し込むと席が重複し、他の人が座れたはずの席を潰してしまわないか","けど、複数申し込みにしたら、だれかの席を埋めちゃう事になる？って考えて、ぐるぐる…
3-5万支援者はどのカンファレンスか選べないってなってるから、重複しちゃうと誰かが座れたかもしれない空席つくっちゃうかもってことなのかな？","さめ さん
tommy さん","2026-08-15 00:38
2026-08-15 01:55","先行情報
先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537847806977376428
https://discord.com/channels/1497518632761163797/1499610863244673134/1537867317017579651","未回答","独断で答えるべきでない内容なのでチームと相談し、Q&Aとして改めて案内します、との回答","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","スペースでは「返席（席を返せる仕組み）」の可能性も話題に出ましたが、確定情報ではありません。支援をためらわせている最大の要因のひとつです。"
"14","席（カンファレンス招待）","SS席招待の「2席」「3席」等の記載は、支援1口あたりの席数か、そのコース全体の総席数か（割り当て方法も含めて）","・PARTNER/FOUNDING CIRCLE支援定員5名に対して、用意されているSS席数が5席未満 → それぞれの割り当てに対して先着順？🤔
・SS席招待の「2席」「3席」等の記載が、支援1口あたりの席数か席の総数かが判別できない（割り当て方法含め不明）","あっしー🎧🌱🚿 さん
とらびと さん","2026-08-15 01:53
2026-08-15 01:59","先行情報
先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537866782910714049
https://discord.com/channels/1497518632761163797/1499610863244673134/1537868266293432330","未回答","SS席招待の「2席」「3席」等の表記は、支援1口あたりの席数か総数か（割り当て方法含め）
いや、支援一件につき、3名分など複数席用意されると解釈しています。法人向けみたいな。","いっぽ さん
さすらいビューワー さん","運営（質問受付のみ・回答ではない）
メンバー推測","2026-08-15 17:12
2026-08-15 01:56","https://discord.com/channels/1497518632761163797/1499610863244673134/1538098037094752306
https://discord.com/channels/1497518632761163797/1499610863244673134/1537867625542193233","運営が質問として受け付け済み。回答は未確認。高額コースの検討に直結します。"
"15","席（カンファレンス招待）","席がダブった場合、本人以外（友人など）に譲れるのか。転売対策はどうなるのか","なんかダブりの場合に席を譲れる（本人以外でもOK）なのかも気にナウル。 私はする気ないですが構造上転売が心配ですが・・・","dk さん","2026-08-16 10:40","雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538361785210380368","未回答","（回答なし）","","","","","回答は未確認。"
"16","席（カンファレンス招待）","友人や家族を連れて行けるのか。子連れは何人まで（席が要るなら有料か）。介助者の同伴・事前申請・優先ゲートはあるか","友人や家族を連れて行けるのか(少数の？当日自由席に並ぶのか、会議室などにモニターがあって座れたり立ったりして拝聴するのか、スペースかyoutube等でライブ配信を拝聴できるのか)、子連れは何人までいけるのか(席が要るな…","双黒 梨花🍀天海 翠依 さん","2026-08-16 10:04","雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538352701430169660","未回答","（回答なし）","","","","","アクセシビリティに関わる論点。回答は未確認。"
"17","法被・Tシャツ・物販","法被コースに郵送の選択肢がない（Tシャツにはあるのに）","法被のコース、一応、郵送も可能なハズなのですが、選択肢になくて心配してます","nao@福岡🌱🚿 さん","2026-08-15 00:06","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537839773706752091","運営回答あり","本当ですね、Tシャツにはありますが法被のコースに選択肢ないんですね。報告・確認しますのでお待ちください","いっぽ さん","運営正式","2026-08-15 09:05","https://discord.com/channels/1497518632761163797/1499610863244673134/1537975391552016494","いっぽさん（運営）が確認を約束。8/16 時点で「対応済み」の告知は確認できていません。"
"18","法被・Tシャツ・物販","法被の色は選べないのか。色柄はサイズによって異なるのか","・法被の色柄はサイズによって異なりますか？
法被、確かに申し込むときサイズしか入れてないな。","tommy さん
Boruzio さん","2026-08-15 14:12
2026-08-16 10:08","スペース質問箱
雑談","https://discord.com/channels/1497518632761163797/1515253025940312237/1538052656105398404
https://discord.com/channels/1497518632761163797/1499907191623123096/1538353711133499533","運営回答あり","法被の色は選べないのか？ → 当日中に修正対応
Tシャツの色（白／ネイビー）が選べるようになっていなかった件は、当日中に修正対応済み
法被の色選択、まだ反映されていないみたい","引地 耕太 さん（出典：しあらー さんのスペースまとめ）
引地 耕太 さん（出典：しあらー さんのスペースまとめ）
Laika@大阪🌱🚿 さん","スペース発言
スペース発言
メンバー推測","2026-08-15 22:19
2026-08-15 22:19
2026-08-15 21:02","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731
https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731
https://discord.com/channels/1497518632761163797/1499907191623123096/1538155956620492811","スペース直後の時点では反映が確認できておらず、8/16 朝も「後日、色味を聞いてくださる感じですかね」と未確定のまま。反映済みかどうかの告知があると親切です。"
"19","法被・Tシャツ・物販","返礼品を当日受け取りにしたが、当日行けなくなった場合は郵送に変更できるか","・返礼品を現地受け取りにしたがイベント日に行けなくなった場合、郵送への変更手続きは可能か
【質問】当日受取にしてたけど行けなかったら後日に配送してもらえますか？","tommy さん
双黒 梨花🍀天海 翠依 さん","2026-08-15 14:12
2026-08-15 20:54","スペース質問箱
雑談","https://discord.com/channels/1497518632761163797/1515253025940312237/1538052656105398404
https://discord.com/channels/1497518632761163797/1499907191623123096/1538153801352089680","運営回答あり","当日受け取りにしたが行けなくなった場合は？ → 後日発送できる方向で調整中","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","「調整中」まで。確定案内はこれから。"
"20","法被・Tシャツ・物販","法被などを当日着用したい場合、いつ・どこで受け取るのか（事前配送はあるのか）","・法被等を当日着用したい場合の受け取り方法は明記なし","とらびと さん","2026-08-15 01:27","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537860277058408659","未回答","（回答なし）","","","","","スペースでは「事前配送はえぐそう（＝負荷が大きそう）」というメンバーの感想が出た程度で、運営回答は未確認。"
"21","法被・Tシャツ・物販","第二弾リターンに提灯などのグッズは出るのか","提灯名入れしたい…","とらびと さん","2026-08-15 00:21","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537843546525139045","未回答","（回答なし）","","","","","「第二弾以降も順次追加していく予定」（先行告知メール）とのみ。中身は未案内。"
"22","アーカイブ・配信・遠方参加","8/15 のスペースにアーカイブ（録音）は残るか。聞き逃した過去2回の配信は今から聞けるか","先日あった引地さんの配信はまだ聞けますか？探しても見つけられなくて。
今日のスペースの アーカイブは残ったらいいな","アサミ さん
アサミ さん","2026-08-15 00:43
2026-08-15 09:08","先行情報
先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537849243677761628
https://discord.com/channels/1497518632761163797/1499610863244673134/1537976125974650901","運営回答あり","録音もしているので、よろしければお時間のある方はよかったらお聞きください。
最近の2回はDiscordのボイスチャンネルだったので、 アーカイブは残っていないのです。
これまで通り録音ありだとは思います！また聞けなかった方向けにテキストでもまとめますね","引地 耕太 さん
Laika@大阪🌱🚿 さん
しあらー さん","運営正式
メンバー推測
メンバー推測","2026-08-15 21:53
2026-08-15 00:50
2026-08-15 09:19","https://discord.com/channels/1497518632761163797/1499907181145886840/1538168832198451230
https://discord.com/channels/1497518632761163797/1499610863244673134/1537850834610561155
https://discord.com/channels/1497518632761163797/1499610863244673134/1537979075870588990","結果として 8/15 のスペースは録音あり。テキストまとめも しあらー さんが「引地先生スペースまとめ」に投稿しています。"
"23","アーカイブ・配信・遠方参加","カンファレンスのオンライン視聴権・アーカイブ視聴権はあるか","あー、でもカンファレンスのオンライン視聴権とか、アーカイブ視聴権とかあったらいいですねぇ。。。。。🥹
講演のアーカイブ","たかえ さん
よるうどん さん","2026-08-16 01:35
2026-08-15 21:27","スペース質問箱
雑談","https://discord.com/channels/1497518632761163797/1515253025940312237/1538224520706396311
https://discord.com/channels/1497518632761163797/1499907191623123096/1538162288685748244","一部のみ回答","「#リモート祭り」：現地に来られない方も、外から祭りを体感できる場に。アーカイブ映像はしっかり残したい、とのこと","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","「映像は残す」方向までは回答あり。単体で買える視聴権になるのかは未回答。"
"24","当日運営（3部制・割り振り・会場）","イベント全体の開催時間帯はいつか（遠征・他イベントとの兼ね合いで支援判断できない）","中央公会堂の講演の時間が気になってます。
遠征民は10/12に現地に行けるのかどうかでリターン品も考慮に入れたいんですが、開催時間がわからないので、手が出せないです
遠方民なので、電車のために時間帯、知りたいです。
10/12が残念ながら子どもの予定で行けないので現地参加は午前のみor諦めるしかない私がどれを申し込むべきかでフリーズしています😇","ともみん（西園寺智世） さん
tommy さん
双黒 梨花🍀天海 翠依 さん
うさこ さん","2026-08-15 00:09
2026-08-15 01:07
2026-08-15 20:55
2026-08-15 08:12","先行情報
先行情報
雑談
先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537840581693149336
https://discord.com/channels/1497518632761163797/1499610863244673134/1537855274419748944
https://discord.com/channels/1497518632761163797/1499907191623123096/1538154172967288842
https://discord.com/channels/1497518632761163797/1499610863244673134/1537962050733744138","運営回答あり","3部制（入替制） を想定。時間帯は、昼寄りの午前から始まり、昼過ぎ、夕方から夜にかけての3つ。早朝からの開催はないとのことです","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","「午前寄り／昼過ぎ／夕方〜夜の3部」まで回答。具体的な開始・終了時刻はまだ未確定。"
"25","当日運営（3部制・割り振り・会場）","どの部（プログラム）に参加できるかは選べるのか","何部かは抽選…","双黒 梨花🍀天海 翠依 さん","2026-08-15 21:07","雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538157083298373702","運営回答あり","どの部に誰が登壇するかは選べない形になる見込み。スケジュール調整の都合上、運営側で割り振る形になるそうです","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","3万円（A席）／5万円（AA席）はプログラムの一部のみ・任意選択不可。FOUNDING NEIGHBOR（10万円）以上は全プログラム参加可、というクラファンページ記載とも整合します。"
"26","当日運営（3部制・割り振り・会場）","ボランティア・運営の手伝いとして関わることはできるか","書籍支援者が運営を手伝う場面、ボランティア活動などは想定されていますでしょうか？
ボランティア参加できたらいいなあ。。。","さすらいビューワー さん
popororin さん","2026-08-15 15:24
2026-08-15 21:24","スペース質問箱
雑談","https://discord.com/channels/1497518632761163797/1515253025940312237/1538070840183226439
https://discord.com/channels/1497518632761163797/1499907191623123096/1538161399950352505","運営回答あり","気持ちはとても嬉しいものの、責任の範囲や安全面の設計に時間が必要なため、現時点で確約はできないとのこと。何か形がつくれそうであればトライしたい、と語られました","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","現時点で確約なし。希望者は複数います（法被を着てもぎりをやりたい等）。"
"27","当日運営（3部制・割り振り・会場）","開催期間の拡張（前日・前々日）や、展示の会期はどうなるのか","展示期間？","かおる🌱🚿 さん","2026-08-15 20:34","雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538148757110001685","運営回答あり","前日・前々日などへの拡張も交渉を進めているものの、費用の問題などがあり、現時点では確定していないとのこと
1〜2日ではなく 数日規模 で開催できるよう交渉中","引地 耕太 さん（出典：しあらー さんのスペースまとめ）
引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言
スペース発言","2026-08-15 22:19
2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731
https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","どちらも「交渉中」。確定は 8〜9月予定とクラファンページに記載。"
"28","当日運営（3部制・割り振り・会場）","入場無料で中之島に人が集中したときの混雑・安全対策はどうするのか","当日中之島一帯にヒトがごった返してとんでもないことになりそうな気がしております
中之島自体はキャパ吸えても、各コンテンツはどうなんだろう､､､､という気持ちは拭えません。","万博&園芸博の人（ヒトと呼んでください✨） さん
さすらいビューワー さん","2026-08-15 14:29
2026-08-15 14:45","雑談
雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538056990952136774
https://discord.com/channels/1497518632761163797/1499907191623123096/1538060950848929895","未回答","（回答なし）","","","","","「世界横丁」など過去イベントの混乱を経験したメンバーからの懸念。運営回答は未確認。"
"29","当日運営（3部制・割り振り・会場）","世界縁日の本格的なPR・メディア露出はいつからか（まだ記事が出ていない）","メディアリレーションどうなってるのかなぁ まだ世界縁日の記事でてこないね","tommy さん","2026-08-16 12:02","雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538382373085782128","運営回答あり","祭りの本格的なPRは色々と出揃ってから行う予定です！
今まだ言えないことが多すぎるのでw 日程等も明確になってからになるかと。","引地 耕太 さん
引地 耕太 さん","運営正式
運営正式","2026-08-16 12:59
2026-08-16 12:59","https://discord.com/channels/1497518632761163797/1499907191623123096/1538396638681366589
https://discord.com/channels/1497518632761163797/1499907191623123096/1538396765894475797","引地さん本人が雑談チャンネルで直接回答。"
"30","当日運営（3部制・割り振り・会場）","世界縁日のロゴに「こみゃく」を入れられないのか","世界縁日のロゴにこみゃくをいれれないのが、ちょっと残念。何とかしたいですね。","Boruzio さん","2026-08-15 19:57","二次創作ガイドライン磨き隊✨","https://discord.com/channels/1497518632761163797/1514487551308726342/1538139535517552700","運営回答あり","公式的には今は「まだ」入れれないですが、 皆さんが「二次創作」的に遊んでもらう分には問題ないですよ。
こみゃくを入れたプロジェクトも何かやれないか最後まで可能性を探っていきたいとは思います。","引地 耕太 さん
引地 耕太 さん","運営正式
運営正式","2026-08-16 09:17
2026-08-16 09:20","https://discord.com/channels/1497518632761163797/1514487551308726342/1538340886432186398
https://discord.com/channels/1497518632761163797/1514487551308726342/1538341691629768795","引地さん本人が回答。協会への申請が要るためギリギリまで確定しない旨も併記されています。"
"31","10/13以降のDiscord・会員制度","現行の COMMONs LAB は 10/13 で特典終了だが、今回のクラファンを支援すればステータスに応じて継続できるのか","現行のDiscordCOMMONsLABですが、10/13で特典終了のところ、こちらを支援すればそのステータスに応じて継続できる解釈でよろしいでしょうか？","さすらいビューワー さん","2026-08-15 00:08","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537840237667946537","未回答","現行Discord（COMMONs LAB）の継続について（今回のクラファン支援でステータスに応じて継続となるか）
今回のご支援には、支援者コミュニティ COMMONs LAB（Discord）への 参加権が含まれます（会員制度の無料体験・2026年12月末まで予定）。","いっぽ さん
引地 耕太 さん","運営（質問受付のみ・回答ではない）
運営正式（先行告知メール）","2026-08-15 17:12
2026-08-15 00:00","https://discord.com/channels/1497518632761163797/1499610863244673134/1538098037094752306
https://discord.com/channels/1497518632761163797/1499610863244673134/1537838435572654101","先行告知メールに「参加権が含まれる（無料体験・2026年12月末まで予定）」との記載はありますが、「既存メンバーの現行ロールが 10/13 以降どうなるか」への直接の回答はまだありません。この一点で支援を保留している人が複数います。"
"32","10/13以降のDiscord・会員制度","10/13以降のDiscordロールは今回の支援金額で変わるのか／今回支援しなかった場合は 10/13 以降アクセスできなくなるのか","・10/13以降のDiscordのロールは今回のクラファン支援金額によって変更になる？ ・今回のクラファンに支援しなかった場合、10/13以降はDiscordにアクセスできなくなる？","haibara🌱🚿 さん","2026-08-15 03:12","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537886536916410458","未回答","10/13以降のDiscordロールの変更について 今回のクラファン未支援の場合のDiscordアクセス権について","いっぽ さん","運営（質問受付のみ・回答ではない）","2026-08-15 17:12","https://discord.com/channels/1497518632761163797/1499610863244673134/1538098037094752306","運営が受け付け済み。回答は未確認。"
"33","10/13以降のDiscord・会員制度","来年以降もDiscordは続くのか。参加条件は年会費方式になるのか（新しい会員制度を詳しく知りたい）","・来年以降もDiscordは存続予定と思われるが、来年以降の参加条件のイメージが知りたい。年会費方式等になる？
・新たな会員制度を詳しく知りたい！大事なことが書いてある！ ・合わせて既存のDiscordの扱いも確認したい！","haibara🌱🚿 さん
ひろっぴー さん","2026-08-15 03:12
2026-08-15 13:19","先行情報
スペース質問箱","https://discord.com/channels/1497518632761163797/1499610863244673134/1537886536916410458
https://discord.com/channels/1497518632761163797/1515253025940312237/1538039368504188948","一部のみ回答","背景には、COMMONs LABという場や活動を継続的に続けていくための基盤づくりという議論があります。個人会員・法人会員という形で、みんなで場を耕していく仲間を増やしていく構想
名称や形は今後変わる可能性もあり、改めて詳しく話す機会をつくりたい、とのことです","引地 耕太 さん（出典：しあらー さんのスペースまとめ）
引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言
スペース発言","2026-08-15 22:19
2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731
https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","「NEIGHBORs（隣人）」という会員制度の構想までは説明あり。会費の有無・金額・既存メンバーの扱いは未案内。"
"34","10/13以降のDiscord・会員制度","新たに支援する人は既存のDiscordに合流するのか、新しい場ができるのか。招待制以外のプログラムは人数無制限か","・新たに申し込む方は既存のDiscordにいったん合流？もしくは新たなものが作られる？ ・イベントのうち招待制以外のものは、人数は無制限？","ひろっぴー さん","2026-08-15 13:19","スペース質問箱","https://discord.com/channels/1497518632761163797/1515253025940312237/1538039368504188948","未回答","（回答なし）","","","","","回答は未確認。"
"35","10/13以降のDiscord・会員制度","書籍と祭りで支援プランが違う場合、Discord上の名前の色（ロール表示）はどちらが優先されるのか","祭りのクラファンに参加するとして、このDiscord上の名前の色はどうなるんだろう。支援プランとあわせてるけど、本と祭りで支援が異なると、どちらかの色が優先される？","ラムちゃん💮🐑⚡ さん","2026-08-15 09:41","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537984666747936798","未回答","書籍と祭りで支援プランが異なる場合、Discordの名前の色（ロール表示）はどちらが優先されるか","いっぽ さん","運営（質問受付のみ・回答ではない）","2026-08-15 17:12","https://discord.com/channels/1497518632761163797/1499610863244673134/1538098037094752306","運営が受け付け済み。回答は未確認。"
"36","10/13以降のDiscord・会員制度","リターンなしのコースにも「Discord無料体験」と書いてあるが、普通に入れるだけなのか。見られる範囲は狭くなるのか","ちなみに、リターン無しにも無料体験Discrodって書いてあるんですけど、これは普通に入れるだけなのかしら？など","かおる🌱🚿 さん","2026-08-17 01:58","水やり職人の給水所","https://discord.com/channels/1497518632761163797/1514560403139727402/1538592700377600040","未回答","（回答なし）","","","","","8/17 未明の投稿。回答は未確認。"
